Case	Accuracy	SBS1	SBS2	SBS5	SBS8	SBS9	SBS13	SBS17b	SBS18	SBS-ganciclovir	SBS-RT	SBS-melphalan
012-02-1TD	0.9689	422	0	1738	416	0	0	0	0	0	0	0
012-11-01TD	0.9788	724	0	3302	777	0	0	0	0	0	0	0
012-13-01TD	0.969	453	0	2603	0	0	0	0	0	0	0	0
012-15-01TD	0.9747	813	0	4252	0	0	0	0	677	0	1016	0
012-16-01TD	0.9771	960	0	4716	1226	0	0	0	0	0	1025	0
012-17-01TD	0.9766	916	0	4546	1208	0	0	0	0	0	1023	0
012-18-01TD	0.9778	904	0	4546	1140	0	0	0	0	0	1066	0
012-19-01TD	0.9739	940	0	4925	0	0	0	0	829	0	1321	0
019-0047-01TD	0.9754	367	0	1736	747	710	0	0	0	0	0	0
019-05-01TD	0.9782	396	0	2023	602	743	0	0	0	0	0	0
019-12-02TD	0.9782	617	0	2935	1029	983	0	0	0	0	0	0
019-15-01TD	0.9793	627	0	3334	998	1027	0	0	0	0	1158	0
019-18-01TD	0.9782	417	0	2084	633	765	0	0	0	0	0	0
019-19-01TD	0.9786	652	0	2910	1057	1029	0	0	0	0	0	0
063-0127-01TD	0.9705	309	0	1460	290	0	0	0	0	0	0	0
063-02-1TD	0.9766	371	0	1794	370	0	0	0	0	0	0	0
063-08-04BD	0.9723	491	0	2762	822	0	0	0	0	0	618	0
063-09-01TD	0.9711	310	0	1557	298	0	0	0	0	0	0	0
102-0202-1DVT	0.927	187	0	1213	878	0	0	0	0	0	0	291
1523-01-01TD	0.9463	309	0	1057	390	0	0	0	0	0	0	0
1523-03-01BD	0.9455	453	0	1766	946	0	0	0	0	0	0	506
1563-01-03TD	0.9582	330	0	1641	550	0	0	0	0	0	0	0
1563-02-01BD	0.958	340	0	1632	515	0	0	0	0	0	0	0
1669-04-01BD	0.9471	314	0	1866	717	0	0	0	579	0	787	0
3034-03-01TD	0.959	549	0	2249	908	0	0	0	0	0	0	0
3034-04-01BD	0.9505	549	0	2700	1159	0	0	0	0	0	0	0
3299-01-02TD	0.9628	482	0	1946	682	0	0	0	0	0	0	0
3299-02-01TD	0.9705	572	0	2429	723	0	0	0	0	0	560	0
3299-03-01TD	0.9676	677	0	2905	910	0	0	0	0	0	567	0
3299-04-1TD	0.9681	628	0	2635	790	0	0	0	0	0	585	0
3299-05-01TD	0.9699	477	0	2052	611	0	0	0	0	0	598	0
3495-03-01BD	0.9288	106	0	1379	720	629	121	0	0	0	0	0
365-11-01BD	0.9748	665	0	3522	1499	761	0	0	0	0	560	0
365-16-01TD	0.9713	684	0	3218	1487	576	0	0	0	0	0	0
365-1951-01TD	0.972	680	0	3263	1455	569	0	0	0	0	0	0
4675-03-01BD	0.97	463	0	1363	334	0	0	0	0	0	0	0
4675-04-01BD	0.9731	512	0	2446	2244	0	0	0	0	1127	0	603
4686-03-01BD	0.9572	265	0	1997	697	1270	0	0	0	0	615	0
4687-03-01BD	0.945	139	0	659	318	0	0	0	0	0	0	0
4690-03-01BD	0.9671	209	0	1364	0	0	0	0	0	0	0	0
816-01-1TD	0.9696	355	0	1957	442	0	0	0	0	0	0	0
816-06-01TD	0.9566	395	0	2566	879	0	0	0	0	0	0	0
816-08-01TD	0.967	360	0	1919	462	0	0	0	0	0	0	0
835-01-02BD	0.9303	240	0	985	533	0	0	0	0	0	0	0
839-01-1TD	0.9698	224	0	1368	627	0	0	0	0	0	0	0
839-04-01BD	0.9751	285	333	2470	1205	0	258	166	0	0	0	0
