"sigpro_1" "sigpro_2" "sigpro_3" "sigpro_4" "sigpro_5"
0.01025656 0.02056771 0.00568754 0.04952408 0.00893255
0.01170998 0.01856051 0.00632959 0.01540594 0.01154858
0.0019438 0.00430971 0.00102785 0.00156924 0.00244466
0.00791744 0.0190109 0.00637535 0.01765068 0.00396169
0.00187417 0.00982776 0.00375705 0.08375617 0.01184529
0.0069731 0.01228948 0.00350154 0.01055685 0.0072063
0.00147611 0.00192636 0.00105161 0.00348368 0.0010259
0.00794813 0.01645541 0.00658791 0.02251355 0.00853046
0.00694203 0.00698766 0.00759785 0.05330822 0.01011147
0.00377609 0.00812206 0.00683766 0.01480633 0.00368308
0.00146499 0.00141027 0.00040718 0.00454482 0.00147073
0.00759113 0.00856282 0.00660705 0.02632778 0.00861003
0.00475185 0.00562546 0.01922594 0.04008965 0.01487553
0.00806835 0.01119578 0.00460497 0.01475128 0.0042809
0.00182487 0.00148704 0.00140185 0.00309786 0.00079203
0.00597915 0.0191483 0.02803014 0.03888189 0.00905672
0.00765921 0.00905624 0.00491726 0.00567699 0.00879396
0.00387803 0.00704514 0.00145357 0.0017876 0.00554668
0.00182071 0.00133986 0.00095356 0.00012396 0.00111619
0.00581334 0.00645169 0.00539795 0.00488887 0.00924625
0.00295472 0.0022335 6.9e-06 0.00215114 0.02439447
0.00333265 0.00425408 0.00068828 0.00396453 0.00577326
0.00128985 0.00077694 0.00046883 0.0004592 0.00083704
0.00488269 0.00430658 0.00210667 0.00608608 0.01058187
0.00202781 0.00290207 0.00107821 0.00623471 0.00824373
0.0031822 0.00419376 0.0023222 0.00534859 0.00259588
0.00170064 0.00041938 0.0003076 0.00041667 0.00187908
0.00454386 0.00325296 0.00552561 0.0049274 0.00920847
0.00527846 0.00362136 0.0008581 0.00880498 0.017651
0.00446001 0.00443925 0.00160377 0.0067919 0.00881162
0.00100872 0.0003819 0.00048012 0.00060858 0.00146148
0.01118012 0.00948522 0.00325732 0.01097387 0.01988333
0.02841086 0.02642005 0.01046537 0.01523637 0.01064038
0.02071128 0.01312775 0.00319915 0.0090963 0.0075173
0.09875506 0.02844472 0.00693725 0.02930427 0.01702685
0.01844323 0.01774764 0.0083563 0.01311549 0.00959288
0.01962913 0.0197216 0.00834073 0.01381557 0.0145526
0.02432128 0.01740332 0.00529631 0.01782815 0.0086193
0.05453857 0.01255336 0.00886595 0.01206008 0.01849549
0.02214505 0.029416 0.01081612 0.02444906 0.00661491
0.025988 0.01297614 0.00489162 0.01541524 0.01333009
0.02490934 0.01728937 0.00464573 0.01702577 0.00567456
0.07215494 0.01809166 0.00401039 0.01380125 0.0275198
0.02239566 0.02187168 0.00940421 0.01687009 0.00921562
0.02107917 0.01470788 0.00378016 0.01871346 0.01951143
0.02919496 0.01813533 0.00355016 0.01799438 0.01517722
0.03692391 0.01287969 0.00475083 0.01137815 0.00699542
0.01966218 0.01897256 0.00743403 0.02568739 0.01651551
0.00585434 0.01407756 0.01293727 0.01268764 0.03448384
0.00982999 0.01720544 0.00331378 0.0073765 0.00265645
0.00963149 0.02165366 0.00493486 0.00861346 0.00235851
0.00871179 0.01914709 0.01896346 0.01690307 0.01312787
0.0014462 0.00465937 0.00403176 0.01137036 0.02354631
0.00548863 0.00799373 0.0026192 0.00707668 0.00824314
0.00322953 0.01207151 0.00541262 0.01089675 0.0047866
0.00508 0.01224469 0.00461654 0.01517289 0.02427734
0.00057366 0.00575735 0.00184345 0.0035942 0.02760189
0.0034788 0.00677986 0.00251125 0.00390357 0.00057298
0.00268145 0.00909479 0.00135036 0.00535045 0.0049574
0.00415261 0.00892155 0.00219761 0.00706858 0.01943278
0.00286661 0.00673076 0.02528374 0.01433241 0.04037953
0.00495701 0.0083649 0.00175794 0.00396778 0.00676832
0.00185435 0.00842006 0.0151024 0.00489002 0.00246722
0.00512867 0.01380394 0.01410738 0.01631263 0.03723287
0.02645705 0.02667447 0.02632949 0.00311509 0.03047598
0.01042474 0.0102575 0.01123896 0.00371 0.00517432
0.01662055 0.02426148 0.01739413 0.00491805 0.00479992
0.02014031 0.0278873 0.02787629 0.00831786 0.01006
0.00535332 0.01126877 0.01398755 0.00490434 0.01103969
0.01169081 0.01117912 0.01207643 0.00594004 0.00674426
0.01178711 0.00872843 0.01727699 0.00105687 0.0102087
0.00785021 0.01112803 0.0314473 0.00487343 0.01468368
0.00934805 0.01686855 0.01154007 0.0034667 0.017594
0.00813286 0.01040365 0.01163069 0.00385256 0.0039778
0.00924902 0.01141712 0.00908216 0.00256555 0.00749699
0.0122514 0.01877029 0.01267347 0.0052395 0.01447795
0.00992697 0.01641286 0.01635993 0.00478725 0.02844998
0.01020947 0.01568036 0.01441068 0.00554158 0.00904787
0.00822877 0.00970425 0.01090478 0.00332731 0.00589067
0.01431769 0.01793603 0.03377049 0.00645295 0.02144342
0.00103717 0.00472862 0.04200065 0.00180858 0.00119814
0.00149566 0.00125959 0.00752563 0.00029766 0.00063132
0.0042568 0.00569504 0.00550144 0.00315361 0.00118355
