"sigpro_clust1" "sigpro_clust2" "sigpro_clust3"
0.0198342 0.00775968 0.00789798
0.01829327 0.00460604 0.00590778
0.00401089 0.00035859 0.00203388
0.01272424 0.0066036 0.00580503
0.03109284 0.0028102 0.00525087
0.01941954 0.00196408 0.004514
0.00139587 7.386e-05 0.00277326
0.02669242 0.00200246 0.00590926
0.0156404 0.00352505 0.00916242
0.02131266 0.00345987 0.0029319
0.00091759 0.00189009 0.00101354
0.02919673 0.00323293 0.00378554
0.0139096 0.00608435 0.01046755
0.01895756 0.00150495 0.01098007
0.00069979 0.00038274 0.00561334
0.01818124 0.00402581 0.01387052
0.00350357 0.00380686 0.0149901
0.00128695 0.00523992 0.008725
0.00169832 0.00023874 0.00904538
0.01407169 0.0120744 0.00974044
0.00748291 0.00128717 0.00862764
0.00495007 0.00202728 0.00371002
2.63e-06 0.00060511 0.00443496
0.01153114 0.00668884 0.00092083
0.00592004 0.00432303 0.00820686
0.00998661 0.0084488 0.0040495
2.5e-07 0.00015232 0.00700719
0.05434936 0.0202485 0.00695997
0.01755619 0.00056538 0.00801405
0.00684152 0.00311466 0.01046055
0.00035823 5.119e-05 0.00439358
0.01732851 0.00694336 0.02891959
0.0117703 0.00490305 0.01828517
0.01096338 0.00695063 0.01578362
0.00328302 0.00030704 0.02716454
0.01536218 0.00701853 0.02130937
0.01183845 0.0035764 0.01337506
0.01540921 0.00237131 0.02511136
3.903e-05 3e-08 0.02852307
0.02579587 0.00371215 0.01875094
0.03866965 0.00404072 0.01722152
0.0420697 0.00333708 0.02500985
0.00798109 4.649e-05 0.02148917
0.10446402 0.01351415 0.00575418
0.0217134 0.00379231 0.018854
0.02375013 0.00387602 0.01247377
8.464e-05 3.344e-05 0.01559264
0.02014637 0.01220226 0.02096274
0.01713897 0.04306632 0.00019229
0.00912935 0.00667268 0.00229814
0.01313211 0.01676114 0.00189876
0.0096549 0.02211631 0.00521605
0.00618383 0.01226959 0.00583844
0.00944554 0.00370603 0.00182833
0.00585954 0.0068422 0.01120135
0.01223008 0.00620331 0.00518459
0.0043256 0.01249469 0.00300745
0.00694488 0.00071636 0.00017567
0.00168112 0.00536752 0.00999793
0.00071037 0.00603113 0.01411794
0.01593476 0.02587235 0.00744602
0.00590053 0.00396873 0.00394502
0.00519468 0.00814038 0.0015232
0.01756582 0.02035006 0.00728693
0.00704438 0.04694951 0.02244782
0.00051646 0.01363296 0.01150325
0.00015151 0.01870815 0.02749053
0.00296684 0.04953305 0.01150417
0.00740427 0.0224009 0.00673932
0.00332497 0.01310611 0.02271398
0.00538338 0.01078396 0.04712154
0.00102767 0.03434953 0.01639946
0.00187823 0.016453 0.01222717
7.2e-07 0.01214195 0.01488021
3.83e-06 0.0103741 0.02891341
8.224e-05 0.02202546 0.0114854
0.00186628 0.03999637 0.00912109
0.00878145 0.01255657 0.01655544
0.00148989 0.01088488 0.01727456
0.00105165 0.06925528 0.01449109
8.52e-06 0.03383144 2.845e-05
0.00020552 0.00853549 0.00498196
0.00396043 0.01102489 0.00245212
0.00352322 0.01558532 0.00496246
0.00031724 0.00811314 0.00184035
0.00219938 0.00650858 0.00379979
0.00329541 0.00660636 0.01166877
0.00337801 0.01246856 0.00511656
0.00235354 0.01063927 0.00560283
0.00263687 0.00188428 0.00245351
0.00403588 0.00497783 0.00579925
0.00159399 0.01021471 0.01002552
0.00329085 0.02418331 0.00873864
0.00583271 0.00919146 0.00291398
0.00752569 0.00659879 0.01019408
0.00934962 0.03012447 0.00561162
