EnsemblGeneStableID	HGNC.symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj	Direction.rnaseq	Direction.H3K27ac	Direction.atac	Direction.methylation
ENSG00000162591.16	MEGF6	2753.448311	-4.444694498	0.270919063	2.16E-62	3.86E-58	Down	Increase;Decrease	Decrease	NS
ENSG00000135916.16	ITM2C	3290.686072	4.086769486	0.316145165	2.36E-40	2.10E-36	Up	NS	NS	NS
ENSG00000168496.4	FEN1	1199.176581	2.717417036	0.225564241	1.27E-34	7.54E-31	Up	Increase	Increase	NS
ENSG00000135821.19	GLUL	2449.703693	-2.487137677	0.218193597	3.25E-31	1.45E-27	Down	Decrease	NS	NS
ENSG00000112759.19	SLC29A1	1040.135072	2.890258563	0.259128714	2.96E-30	1.06E-26	Up	NS	NS	NS
ENSG00000167815.12	PRDX2	1806.559543	2.971902875	0.27390442	6.71E-29	2.00E-25	Up	NS	NS	NS
ENSG00000168268.11	NT5DC2	820.9930106	3.693979704	0.351017864	8.41E-28	2.14E-24	Up	NS	Increase	NS
ENSG00000228663.1	PSMD10P1	347.8741028	-2.969912143	0.279456522	1.22E-27	2.73E-24	Down	NS	NS	NS
ENSG00000166025.18	AMOTL1	136.8990287	6.91980551	0.656105695	9.08E-27	1.80E-23	Up	Decrease	NS	Hypo
ENSG00000140534.14	TICRR	295.7174715	3.681327768	0.354482355	1.03E-26	1.84E-23	Up	NS	NS	NS
ENSG00000136810.13	TXN	1472.779299	2.976544508	0.289711407	2.72E-26	4.41E-23	Up	NS	Increase	NS
ENSG00000143476.18	DTL	459.919993	3.455550835	0.340222915	7.84E-26	1.17E-22	Up	NS	NS	NS
ENSG00000006459.11	KDM7A	3945.38835	-2.523869815	0.254815502	1.84E-24	2.53E-21	Down	NS	NS	NS
ENSG00000170873.18	MTSS1	5128.171513	-5.101484681	0.55951432	3.66E-24	4.66E-21	Down	Decrease	Decrease	NS
ENSG00000128268.12	MGAT3	400.7877074	3.671990703	0.381204585	1.05E-23	1.25E-20	Up	Decrease	NS	NS
ENSG00000132359.15	RAP1GAP2	733.2267784	-2.990319602	0.310113039	1.41E-23	1.57E-20	Down	NS	Decrease	Hypo
ENSG00000132694.18	ARHGEF11	514.5095	4.076278935	0.431579408	1.58E-23	1.66E-20	Up	NS	Increase	NS
ENSG00000105376.5	ICAM5	224.2969985	4.725738271	0.502993333	1.93E-23	1.91E-20	Up	NS	NS	NS
ENSG00000171848.15	RRM2	1417.607236	3.803677602	0.41168733	9.60E-23	9.02E-20	Up	Increase	Increase	NS
ENSG00000183010.17	PYCR1	561.4720627	3.358479134	0.361028598	2.32E-22	2.07E-19	Up	Increase	NS	NS
ENSG00000051180.17	RAD51	471.6386812	2.39859978	0.254701937	3.59E-22	3.05E-19	Up	NS	NS	NS
ENSG00000187726.8	DNAJB13	1753.976027	-3.664910412	0.405021244	7.45E-22	6.04E-19	Down	NS	Increase	NS
ENSG00000197444.10	OGDHL	231.0284052	8.987092248	1.069277781	1.79E-21	1.39E-18	Up	NS	Increase	NS
ENSG00000144354.14	CDCA7	864.3355492	5.444178994	0.670720603	1.21E-20	8.98E-18	Up	NS	NS	NS
ENSG00000134802.17	SLC43A3	1305.19998	2.741186932	0.306740822	1.29E-20	9.24E-18	Up	Decrease	Increase	NS
ENSG00000150907.10	FOXO1	2765.760088	-2.635419707	0.295455404	1.63E-20	1.12E-17	Down	Decrease	Increase	Hypo
ENSG00000198807.13	PAX9	419.6697961	4.245828279	0.48583607	1.81E-20	1.20E-17	Up	NS	NS	NS
ENSG00000103202.13	NME4	1068.903672	3.186966956	0.367205123	5.68E-20	3.55E-17	Up	Increase	Increase	Hypo
ENSG00000164362.21	TERT	406.2181577	4.245628629	0.504498069	5.77E-20	3.55E-17	Up	NS	NS	NS
ENSG00000092853.14	CLSPN	467.6307826	2.617793915	0.297541725	7.55E-20	4.49E-17	Up	NS	NS	NS
ENSG00000100116.16	GCAT	193.0753162	4.660592832	0.547954945	9.63E-20	5.54E-17	Up	NS	NS	NS
ENSG00000116191.17	RALGPS2	16808.97777	-1.784601152	0.201911882	1.05E-19	5.85E-17	Down	Decrease	Increase	NS
ENSG00000065328.16	MCM10	389.0709005	4.079575037	0.485485904	1.32E-19	7.13E-17	Up	NS	NS	NS
ENSG00000151623.15	NR3C2	184.517475	-4.309111417	0.494751339	2.07E-19	1.09E-16	Down	Decrease	NS	NS
ENSG00000239672.7	NME1	1451.497624	2.812446346	0.330961319	4.33E-19	2.21E-16	Up	Increase;Decrease	Increase	NS
ENSG00000111716.14	LDHB	8344.996544	1.970819384	0.229911413	8.89E-19	4.41E-16	Up	NS	NS	NS
ENSG00000164105.4	SAP30	145.5759371	3.109821348	0.365150508	1.03E-18	4.97E-16	Up	NS	NS	NS
ENSG00000185818.8	NAT8L	99.29912488	5.642187588	0.661648194	1.19E-18	5.61E-16	Up	NS	NS	NS
ENSG00000198554.12	WDHD1	569.9379646	2.239965497	0.263475832	1.41E-18	6.44E-16	Up	NS	NS	NS
ENSG00000106605.11	BLVRA	331.9454782	2.659390781	0.315860659	1.81E-18	8.10E-16	Up	Decrease	Decrease	NS
ENSG00000162073.14	PAQR4	688.2608574	3.906284098	0.48649542	2.69E-18	1.17E-15	Up	Increase	NS	NS
ENSG00000097021.19	ACOT7	456.372273	2.339542256	0.278440667	3.03E-18	1.29E-15	Up	NS	NS	NS
ENSG00000134333.14	LDHA	2844.517609	2.391135965	0.287413685	3.96E-18	1.61E-15	Up	NS	NS	NS
ENSG00000170627.11	GTSF1	798.5593007	3.011975848	0.366633058	5.04E-18	2.00E-15	Up	Decrease	NS	NS
ENSG00000141570.11	CBX8	191.0371862	3.103500055	0.375769276	5.17E-18	2.01E-15	Up	NS	NS	NS
ENSG00000171988.19	JMJD1C	7633.345129	-1.99662355	0.239297373	6.03E-18	2.29E-15	Down	NS	NS	NS
ENSG00000145386.10	CCNA2	499.3248325	3.399426008	0.421488065	7.14E-18	2.66E-15	Up	Increase	NS	NS
ENSG00000162062.15	TEDC2	196.052683	3.791471548	0.468794439	8.13E-18	2.96E-15	Up	Increase	Increase	NS
ENSG00000165272.16	AQP3	1076.217514	3.486580783	0.438311712	1.01E-17	3.62E-15	Up	NS	NS	NS
ENSG00000166046.11	TCP11L2	1279.031676	-2.152161763	0.261913236	1.82E-17	6.36E-15	Down	Decrease	NS	NS
ENSG00000100307.13	CBX7	5101.214617	-1.770897141	0.215578597	2.26E-17	7.75E-15	Down	Decrease	NS	NS
ENSG00000182054.10	IDH2	2785.522666	1.867143878	0.231412289	6.81E-17	2.29E-14	Up	Increase	NS	NS
