chr	pos	end	is.left	is.right	strand	length
1	100000	199999	1	0	left	1e+05
1	200000	299999	1	0	left	1e+05
1	300000	399999	1	0	left	1e+05
1	400000	499999	1	0	left	1e+05
1	500000	599999	0	1	right	1e+05
1	700000	799999	1	0	left	1e+05
1	800000	899999	1	0	left	1e+05
1	900000	999999	1	0	left	1e+05
1	1000000	1099999	1	0	left	1e+05
1	1400000	1499999	0	1	right	1e+05
1	2300000	2399999	0	1	right	1e+05
1	2400000	2499999	0	1	right	1e+05
1	2500000	2599999	0	1	right	1e+05
1	2600000	2699999	0	1	right	1e+05
1	2700000	2799999	0	1	right	1e+05
1	2800000	2899999	0	1	right	1e+05
1	2900000	2999999	0	1	right	1e+05
1	3100000	3199999	1	0	left	1e+05
1	3200000	3299999	1	0	left	1e+05
1	3300000	3399999	1	0	left	1e+05
1	3800000	3899999	0	1	right	1e+05
1	3900000	3999999	0	1	right	1e+05
1	4000000	4099999	0	1	right	1e+05
1	4100000	4199999	0	1	right	1e+05
1	4200000	4299999	0	1	right	1e+05
1	4300000	4399999	0	1	right	1e+05
1	4400000	4499999	0	1	right	1e+05
1	4500000	4599999	0	1	right	1e+05
1	4600000	4699999	0	1	right	1e+05
1	5200000	5299999	1	0	left	1e+05
1	5300000	5399999	1	0	left	1e+05
1	5400000	5499999	1	0	left	1e+05
1	5500000	5599999	1	0	left	1e+05
1	5600000	5699999	1	0	left	1e+05
1	5700000	5799999	1	0	left	1e+05
1	5800000	5899999	1	0	left	1e+05
1	5900000	5999999	1	0	left	1e+05
1	6000000	6099999	1	0	left	1e+05
1	6100000	6199999	1	0	left	1e+05
1	6200000	6299999	1	0	left	1e+05
1	6500000	6599999	0	1	right	1e+05
1	6600000	6699999	0	1	right	1e+05
1	6700000	6799999	0	1	right	1e+05
1	6800000	6899999	0	1	right	1e+05
1	6900000	6999999	0	1	right	1e+05
1	7000000	7099999	0	1	right	1e+05
1	7100000	7199999	0	1	right	1e+05
1	7200000	7299999	0	1	right	1e+05
1	7500000	7599999	1	0	left	1e+05
1	7600000	7699999	1	0	left	1e+05
1	7700000	7799999	1	0	left	1e+05
1	7800000	7899999	1	0	left	1e+05
1	8700000	8799999	1	0	left	1e+05
1	12500000	12599999	0	1	right	1e+05
1	12600000	12699999	0	1	right	1e+05
1	12700000	12799999	0	1	right	1e+05
1	12800000	12899999	0	1	right	1e+05
1	12900000	12999999	0	1	right	1e+05
1	13000000	13099999	0	1	right	1e+05
1	13100000	13199999	0	1	right	1e+05
1	13200000	13299999	1	0	left	1e+05
1	13300000	13399999	1	0	left	1e+05
1	13400000	13499999	1	0	left	1e+05
1	13500000	13599999	1	0	left	1e+05
1	13600000	13699999	1	0	left	1e+05
1	14100000	14199999	0	1	right	1e+05
1	14200000	14299999	0	1	right	1e+05
1	14300000	14399999	0	1	right	1e+05
1	14400000	14499999	0	1	right	1e+05
1	14500000	14599999	0	1	right	1e+05
1	14900000	14999999	1	0	left	1e+05
1	15000000	15099999	1	0	left	1e+05
1	15100000	15199999	1	0	left	1e+05
1	15200000	15299999	1	0	left	1e+05
1	15300000	15399999	1	0	left	1e+05
1	15400000	15499999	1	0	left	1e+05
1	15500000	15599999	1	0	left	1e+05
1	15600000	15699999	1	0	left	1e+05
1	16800000	16899999	0	1	right	1e+05
1	16900000	16999999	0	1	right	1e+05
1	17700000	17799999	0	1	right	1e+05
1	17800000	17899999	0	1	right	1e+05
1	17900000	17999999	0	1	right	1e+05
1	18000000	18099999	0	1	right	1e+05
1	18100000	18199999	0	1	right	1e+05
1	18200000	18299999	0	1	right	1e+05
1	18600000	18699999	1	0	left	1e+05
1	18700000	18799999	1	0	left	1e+05
1	18800000	18899999	1	0	left	1e+05
1	18900000	18999999	1	0	left	1e+05
1	19000000	19099999	1	0	left	1e+05
1	19100000	19199999	1	0	left	1e+05
1	19200000	19299999	1	0	left	1e+05
1	20100000	20199999	0	1	right	1e+05
1	20200000	20299999	0	1	right	1e+05
1	20300000	20399999	0	1	right	1e+05
1	29500000	29599999	0	1	right	1e+05
1	29600000	29699999	0	1	right	1e+05
1	29700000	29799999	0	1	right	1e+05
1	29800000	29899999	0	1	right	1e+05
1	29900000	29999999	0	1	right	1e+05
1	30000000	30099999	0	1	right	1e+05
1	30100000	30199999	0	1	right	1e+05
1	30500000	30599999	1	0	left	1e+05
1	30600000	30699999	1	0	left	1e+05
1	30700000	30799999	1	0	left	1e+05
1	30800000	30899999	1	0	left	1e+05
1	30900000	30999999	1	0	left	1e+05
1	31000000	31099999	1	0	left	1e+05
1	31800000	31899999	1	0	left	1e+05
1	33700000	33799999	0	1	right	1e+05
1	33800000	33899999	0	1	right	1e+05
1	33900000	33999999	0	1	right	1e+05
1	34000000	34099999	0	1	right	1e+05
1	34100000	34199999	0	1	right	1e+05
1	34200000	34299999	0	1	right	1e+05
1	34300000	34399999	0	1	right	1e+05
1	34400000	34499999	0	1	right	1e+05
1	34800000	34899999	1	0	left	1e+05
1	34900000	34999999	1	0	left	1e+05
1	35000000	35099999	1	0	left	1e+05
1	35100000	35199999	1	0	left	1e+05
1	35200000	35299999	1	0	left	1e+05
1	35300000	35399999	1	0	left	1e+05
1	35400000	35499999	1	0	left	1e+05
1	37000000	37099999	0	1	right	1e+05
1	37100000	37199999	0	1	right	1e+05
1	37200000	37299999	0	1	right	1e+05
1	37300000	37399999	0	1	right	1e+05
1	37700000	37799999	1	0	left	1e+05
1	37800000	37899999	1	0	left	1e+05
1	37900000	37999999	1	0	left	1e+05
1	38000000	38099999	1	0	left	1e+05
1	38500000	38599999	0	1	right	1e+05
1	38600000	38699999	0	1	right	1e+05
1	38700000	38799999	0	1	right	1e+05
1	38800000	38899999	0	1	right	1e+05
